2026-04-21,TUESDAY,Aarav Patel,S101,Mathematics,true
2026-04-21,TUESDAY,Anaya Joshi,S104,Mathematics,true
2026-04-21,TUESDAY,Diya Shah,S102,Mathematics,true
2026-04-21,TUESDAY,Krish Mehta,S103,Mathematics,false
2026-04-21,TUESDAY,Reyansh Iyer,S105,Mathematics,true
2026-04-22,WEDNESDAY,Aarav Patel,S101,Physics,true
2026-04-22,WEDNESDAY,Anaya Joshi,S104,Physics,true
2026-04-22,WEDNESDAY,Diya Shah,S102,Physics,false
2026-04-22,WEDNESDAY,Krish Mehta,S103,Physics,true
2026-04-22,WEDNESDAY,Reyansh Iyer,S105,Physics,false
2026-04-23,THURSDAY,Aarav Patel,S101,Chemistry,true
2026-04-23,THURSDAY,Anaya Joshi,S104,Chemistry,false
2026-04-23,THURSDAY,Diya Shah,S102,Chemistry,true
2026-04-23,THURSDAY,Krish Mehta,S103,Chemistry,true
2026-04-23,THURSDAY,Reyansh Iyer,S105,Chemistry,true
2026-04-23,THURSDAY,Aarav Patel,S101,Mathematics,false
2026-04-23,THURSDAY,Anaya Joshi,S104,Mathematics,false
2026-04-23,THURSDAY,Diya Shah,S102,Mathematics,false
2026-04-23,THURSDAY,Krish Mehta,S103,Mathematics,false
2026-04-23,THURSDAY,Reyansh Iyer,S105,Mathematics,false
2026-04-23,THURSDAY,Vishwajeet,86,Mathematics,true
